ID	Type	Description	DataCoding
6119	Categorical (single)	Which eye(s) affected by glaucoma	100515
6138	Categorical (multiple)	Qualifications	100305
6139	Categorical (multiple)	Gas or solid-fuel cooking/heating	100288
6140	Categorical (multiple)	Heating type(s) in home	100289
6141	Categorical (multiple)	How are people in household related to participant	100292
6142	Categorical (multiple)	Current employment status	100295
6143	Categorical (multiple)	Transport type for commuting to job workplace	100299
6144	Categorical (multiple)	Never eat eggs, dairy, wheat, sugar	100385
6145	Categorical (multiple)	Illness, injury, bereavement, stress in last 2 years	100502
6146	Categorical (multiple)	Attendance/disability/mobility allowance	100510
6147	Categorical (multiple)	Reason for glasses/contact lenses	100514
6148	Categorical (multiple)	Eye problems/disorders	100523
6149	Categorical (multiple)	Mouth/teeth dental problems	100538
6150	Categorical (multiple)	Vascular/heart problems diagnosed by doctor	100605
6151	Categorical (multiple)	Fractured bone site(s)	100622
6152	Categorical (multiple)	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	100610
6153	Categorical (multiple)	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	100626
6154	Categorical (multiple)	Medication for pain relief, constipation, heartburn	100628
6155	Categorical (multiple)	Vitamin and mineral supplements	100629
6156	Categorical (multiple)	Manic/hyper symptoms	100498
6157	Categorical (multiple)	Why stopped smoking	100361
6158	Categorical (multiple)	Why reduced smoking	100361
6159	Categorical (multiple)	Pain type(s) experienced in last month	100553
6160	Categorical (multiple)	Leisure/social activities	100328
6162	Categorical (multiple)	Types of transport used (excluding work)	100299
6164	Categorical (multiple)	Types of physical activity in last 4 weeks	100316
6177	Categorical (multiple)	Medication for cholesterol, blood pressure or diabetes	100625
6179	Categorical (multiple)	Mineral and other dietary supplements	100630
6183	Integer	Number of cigarettes previously smoked daily (current cigar/pipe smokers)	100353
6194	Integer	Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker)	100291
6205	Categorical (single)	Which eye(s) affected by strabismus (squint)	100515
10004	Categorical (multiple)	Medication for pain relief, constipation, heartburn (pilot)	100688
10005	Categorical (multiple)	Medication for smoking cessation, constipation, heartburn, allergies (pilot)	100689
10006	Categorical (multiple)	Mouth/teeth dental problems (pilot)	100685
10007	Categorical (multiple)	Vitamin and mineral supplements (pilot)	100692
10016	Categorical (single)	Regular use of hands-free device/speakerphone with mobile phone (pilot)	100349
10105	Categorical (single)	Internet user (pilot)	100352
10114	Categorical (single)	Willing to be contacted by email (pilot)	100352
10115	Categorical (single)	Why stopped smoking (pilot)	100669
10132	Categorical (single)	Type of progestan-only oral contraceptive used (pilot)	100686
10133	Integer	Number of columns displayed in round (pilot)
10134	Integer	Number of rows displayed in round (pilot)
10136	Integer	Number of correct matches in round (pilot)
10137	Integer	Number of incorrect matches in round (pilot)
10138	Integer	Time to complete round (pilot)	402
10139	Categorical (single)	Index for card A in round (pilot)	92
10140	Categorical (single)	Index for card B in round (pilot)	92
10141	Integer	Number of times snap-button pressed (pilot)
10142	Integer	Number of columns displayed (pilot)
10143	Integer	Number of rows displayed (pilot)
10144	Integer	Time taken to complete lights test (pilot)
10145	Text	Pattern of lights displayed (pilot)
10146	Text	Pattern of lights as remembered (pilot)
10147	Integer	Duration to first press of snap-button in each round (pilot)
10241	Integer	Touchscreen duration (pilot)
10609	Integer	Words answer array (pilot)
10610	Categorical (single)	Word count (pilot)	100280
10612	Integer	Number of words beginning with 'S' (pilot)	100696
10691	Categorical (single)	Result ranking (pilot)	22
10694	Continuous	Forced vital capacity (FVC) (pilot)
10695	Continuous	Forced expiratory volume in 1-second (FEV1) (pilot)
10696	Integer	Peak expiratory flow (PEF) (pilot)
10697	Compound	Data points for blow (pilot)
10711	Categorical (single)	Spirometry method (pilot)	100282
10721	Categorical (multiple)	Illness, injury, bereavement, stress in last 2 years (pilot)	100683
10722	Categorical (multiple)	Qualifications (pilot)	100658
10723	Categorical (multiple)	Vitamin supplements (pilot)	100691
10740	Categorical (single)	Frequency of friend/family visits (pilot)	100662
10749	Categorical (single)	Time using mobile phone in last 3 months (pilot)	100663
10767	Categorical (single)	Spread type (pilot)	100673
10776	Categorical (single)	Bread type/intake (pilot)	100674
10793	Categorical (single)	Hearing difficulty/problems (pilot)	100349
10818	Categorical (single)	Reason for reducing amount of alcohol drunk (pilot)	100669
10827	Categorical (single)	Ever stopped smoking for 6+ months (pilot)	100668
10844	Categorical (single)	Gestational diabetes only (pilot)	100349
10853	Categorical (single)	Reason former drinker stopped drinking alcohol (pilot)	100669
10854	Categorical (multiple)	Other dietary supplements (pilot)	100690
10855	Categorical (multiple)	Never eat eggs, dairy, wheat, sugar (pilot)	100672
10860	Categorical (multiple)	Gas or solid-fuel cooking/heating (pilot)	100656
10877	Categorical (single)	Average total household income before tax (pilot)	100657
10886	Categorical (single)	Difference in mobile phone use compared to one year previously (pilot)	100664
10895	Categorical (single)	Light smokers, at least 100 smokes in lifetime (pilot)	100352
10912	Categorical (single)	Variation in diet (pilot)	100394
10953	Categorical (single)	Duration of walks (pilot)	100659
10962	Categorical (single)	Duration of moderate physical activity (pilot)	100659
10971	Categorical (single)	Duration of vigorous physical activity (pilot)	100659
12139	Categorical (single)	Believed safe to perform brain MRI scan	634
12140	Categorical (single)	Believed safe to perform abdominal MRI scan	634
12141	Categorical (single)	Believed safe to perform DXA scan	634
12187	Categorical (single)	Brain MRI measuring method	470
12188	Categorical (single)	Brain MRI measurement completed	21
12223	Categorical (single)	Abdominal MRI measuring method	470
12224	Categorical (single)	Abdominal MRI measurement completed	7
12253	Categorical (single)	DXA measuring method	470
12254	Categorical (single)	DXA measurement completed	7
12623	Text	Reason abdominal MRI not completed
12624	Text	Identifier for blood pressure device
12651	Integer	Duration of eprime test
12652	Text	Reason brain MRI not performed
12663	Text	Reason believed unsafe to perform brain MRI
12664	Text	Reason believed unsafe to perform abdominal MRI
12671	Text	PWA start time
12673	Integer	Heart rate during PWA
12674	Integer	Systolic brachial blood pressure during PWA
12675	Integer	Diastolic brachial blood pressure during PWA
12676	Integer	Peripheral pulse pressure during PWA
12677	Integer	Central systolic blood pressure during PWA
12678	Integer	Central pulse pressure during PWA
12679	Continuous	Number of beats in waveform average for PWA
12680	Continuous	Central augmentation pressure during PWA
12681	Continuous	Augmentation index for PWA
12682	Continuous	Cardiac output during PWA
12683	Continuous	End systolic pressure during PWA
12684	Continuous	End systolic pressure index during PWA
12685	Continuous	Total peripheral resistance during PWA
12686	Integer	Stroke volume during PWA
12687	Integer	Mean arterial pressure during PWA
12695	Text	Blood pressure test start time
12697	Integer	Systolic brachial blood pressure
12698	Integer	Diastolic brachial blood pressure
12699	Integer	Number of PWA tests performed
12700	Categorical (single)	Vicorder results plausible	7
12702	Continuous	Cardiac index during PWA
12704	Text	Reason brain MRI not completed
12706	Categorical (single)	Eprime error flag	100699
12848	Text	Reason abdominal MRI not performed
12851	Text	Reason DXA not performed
12854	Text	Reason DXA not completed
20001	Categorical (multiple)	Cancer code, self-reported	3
20002	Categorical (multiple)	Non-cancer illness code, self-reported	6
20003	Categorical (multiple)	Treatment/medication code	4
20004	Categorical (multiple)	Operation code	5
20005	Categorical (single)	Email access	1007
20006	Continuous	Interpolated Year when cancer first diagnosed	13
20007	Continuous	Interpolated Age of participant when cancer first diagnosed	13
20008	Continuous	Interpolated Year when non-cancer illness first diagnosed	13
20009	Continuous	Interpolated Age of participant when non-cancer illness first diagnosed	13
20010	Continuous	Interpolated Year when operation took place	13
20011	Continuous	Interpolated Age of participant when operation took place	13
20012	Categorical (single)	Method of recording time when cancer first diagnosed	14
20013	Categorical (single)	Method of recording time when non-cancer illness first diagnosed	14
20014	Categorical (single)	Method of recording time when operation occurred	14
20015	Continuous	Sitting height
20016	Integer	Fluid intelligence score
20018	Categorical (single)	Prospective memory result	18
20019	Continuous	Speech-reception-threshold (SRT) estimate (left)
20021	Continuous	Speech-reception-threshold (SRT) estimate (right)
20022	Continuous	Birth weight
20023	Integer	Mean time to correctly identify matches
20024	Categorical (single)	Job code - deduced	2
20031	Text	Acceptability of each blow result (text)
20032	Text	Acceptability of each blow result (text) (pilot)
20041	Categorical (single)	Reason for skipping weight	47
20042	Categorical (single)	Reason for skipping spirometry	47
20043	Categorical (single)	Reason for skipping grip strength (right)	47
20044	Categorical (single)	Reason for skipping grip strength (left)	47
20045	Categorical (single)	Reason for skipping waist	47
20046	Categorical (single)	Reason for skipping hip measurement	47
20047	Categorical (single)	Reason for skipping standing height	47
20048	Categorical (single)	Reason for skipping sitting height	47
20049	Categorical (single)	Blood sample #, note contents	49
20050	Categorical (single)	Reason blood sampling not attempted	50
20051	Categorical (single)	Reason for skipping arterial stiffness	51
20052	Categorical (single)	Reason for skipping refractometry (left)	54
20053	Categorical (single)	Reason for skipping IOP (right)	54
20054	Categorical (single)	Reason for skipping IOP (left)	54
20055	Categorical (single)	Reason for skipping refractometry (right)	54
20058	Categorical (single)	Reason for skipping ECG	47
20059	Categorical (single)	Reason ECG not completed	59
20060	Categorical (single)	Reason at-rest ECG performed without bicycle	60
20061	Categorical (single)	Reason for skipping OCT (right)	54
20062	Categorical (single)	Reason for skipping OCT (left)	54
20074	Integer	Home location at assessment - east co-ordinate (rounded)
20075	Integer	Home location at assessment - north co-ordinate (rounded)
20077	Integer	Number of diet questionnaires completed
20078	Date	When diet questionnaire completion requested
20082	Integer	Duration of questionnaire
20083	Integer	Delay between questionnaire request and completion
20084	Categorical (multiple)	Vitamin and/or mineral supplement use	74
20085	Categorical (multiple)	Reason for not eating or drinking normally	75
20086	Categorical (multiple)	Type of special diet followed	76
20087	Categorical (multiple)	Types of spread used on bread/crackers	77
20088	Categorical (multiple)	Types of spreads/sauces consumed	78
20089	Categorical (multiple)	Type of meals eaten	79
20090	Categorical (multiple)	Type of fat/oil used in cooking	80
20091	Categorical (multiple)	Type of sliced bread eaten	81
20092	Categorical (multiple)	Type of baguette eaten	81
20093	Categorical (multiple)	Type of large bap eaten	81
20094	Categorical (multiple)	Type of bread roll eaten	81
20095	Categorical (multiple)	Size of white wine glass drunk	82
20096	Categorical (multiple)	Size of red wine glass drunk	82
20097	Categorical (multiple)	Size of rose wine glass drunk	82
20098	Categorical (multiple)	Thickness of butter/margarine spread on sliced bread	83
20099	Categorical (multiple)	Thickness of butter/margarine spread on baguettes	83
20100	Categorical (multiple)	Thickness of butter/margarine spread on large baps	83
20101	Categorical (multiple)	Thickness of butter/margarine spread on bread rolls	83
20102	Categorical (multiple)	Thickness of butter/margarine spread on crackers/crispbreads	83
20103	Categorical (multiple)	Thickness of butter/margarine spread on oatcakes	83
20104	Categorical (multiple)	Thickness of butter/margarine spread on other bread	83
20105	Categorical (multiple)	Liquid used to make porridge	84
20106	Categorical (multiple)	Type of yogurt eaten	85
20107	Categorical (single)	Illnesses of father	1010
20108	Categorical (multiple)	Ingredients in canned soup	86
20109	Categorical (multiple)	Ingredients in homemade soup	86
20110	Categorical (single)	Illnesses of mother	1010
20111	Categorical (single)	Illnesses of siblings	1010
20112	Categorical (single)	Illnesses of adopted father	1010
20113	Categorical (single)	Illnesses of adopted mother	1010
20114	Categorical (single)	Illnesses of adopted siblings	1010
20115	Categorical (single)	Country of Birth (non-UK origin)	89
20116	Categorical (single)	Smoking status	90
20117	Categorical (single)	Alcohol drinker status	90
20118	Categorical (single)	Home area population density - urban or rural	91
20119	Categorical (single)	Current employment status - corrected	100295
20121	Integer	Cascot confidence score
20128	Integer	Number of fluid intelligence questions attempted within time limit
20129	Integer	Number of columns displayed in round
20130	Integer	Number of rows displayed in round
20131	Integer	Number of correct matches in round
20132	Integer	Number of incorrect matches in round
20133	Integer	Time to complete round	485
20134	Time	When pairs test completed
20135	Time	When fluid intelligence test completed
20136	Time	When trail making test completed
20137	Time	When symbol digit substitution test completed
20138	Time	When numeric memory test completed
20147	Integer	Errors before selecting correct item in numeric path (trail #1)
20148	Integer	Errors before selecting correct item in alphanumeric path (trail #2)
20149	Integer	Interval between previous point and current one in numeric path (trail #1)	485
20155	Integer	Interval between previous point and current one in alphanumeric path (trail #2)	485
20156	Continuous	Duration to complete numeric path (trail #1)
20157	Continuous	Duration to complete alphanumeric path (trail #2)
20158	Text	DXA images
20159	Integer	Number of symbol digit matches made correctly
20165	Categorical (single)	FI1 : numeric addition test	5001
20167	Categorical (single)	FI2 : identify largest number	5002
20169	Categorical (single)	FI3 : word interpolation	5003
20171	Categorical (single)	FI4 : positional arithmetic	5004
20173	Categorical (single)	FI5 : family relationship calculation	5005
20175	Categorical (single)	FI6 : conditional arithmetic	5006
20177	Categorical (single)	FI7 : synonym	5007
20179	Categorical (single)	FI8 : chained arithmetic	5008
20181	Categorical (single)	FI9 : concept interpolation	5009
20183	Categorical (single)	FI10 : arithmetic sequence recognition	5010
20185	Categorical (single)	FI11 : antonym	5011
20187	Categorical (single)	FI12 : square sequence recognition	5012
20189	Categorical (single)	FI13 : subset inclusion logic	5013
20191	Integer	Fluid intelligence score
20193	Categorical (single)	FI14 : alphanumeric substitution	5014
20195	Integer	Number of symbol digit matches attempted
20196	Categorical (single)	First code array presented	500
20198	Categorical (single)	Test array presented	500
20200	Integer	Values wanted
20201	Text	Dixon technique for internal fat - DICOM
20202	Text	Pancreatic fat - DICOM
20203	Text	Liver images - gradient echo
20204	Text	OCRM experimental sequence - DICOM
20206	Text	Measurements of pancreas volume - DICOM
20207	Text	Scout images for heart MRI - DICOM
20208	Text	Long axis heart images - DICOM
20209	Text	Short axis heart images - DICOM
20210	Text	Aortic distensibilty images - DICOM
20211	Text	Cine tagging images - DICOM
20212	Text	Left ventricular outflow tract images - DICOM
20213	Text	Blood flow images - DICOM
20214	Text	Experimental shMOLLI sequence images - DICOM
20215	Text	Scout images for brain scans - DICOM
20217	Text	Functional brain images - task - DICOM
20218	Text	Multiband diffusion brain images - DICOM
20219	Text	Susceptibility weighted brain images - DICOM
20224	Text	Phoenix - DICOM
20225	Text	Functional brain images - resting - DICOM
20227	Text	Functional brain images - resting - NIFTI
20229	Integer	Values entered
20230	Integer	Duration to entering value
20240	Integer	Maximum digits remembered correctly
20242	Categorical (single)	Fluid intelligence completion status	498
20244	Categorical (single)	Pairs matching completion status	498
20245	Categorical (single)	Symbol digit completion status	498
20246	Categorical (single)	Trail making completion status	479
20247	Integer	Total errors traversing numeric path (trail #1)
20248	Integer	Total errors traversing alphanumeric path (trail #2)
20249	Text	Functional brain images - task - NIFTI
20250	Text	Multiband diffusion brain images - NIFTI
20251	Text	Susceptibility weighted brain images - NIFTI
20252	Text	T1 structural brain images - NIFTI
20253	Text	T2 FLAIR structural brain images - NIFTI
21000	Categorical (single)	Ethnic background	1001
21001	Continuous	Body mass index (BMI)
21002	Continuous	Weight
21003	Integer	Age when attended assessment centre
21021	Continuous	Pulse wave Arterial Stiffness index
22000	Categorical (single)	Genotype measurement batch	22000
22001	Categorical (single)	Genetic sex	9
22002	Text	CEL files
22003	Continuous	Heterozygosity
22004	Continuous	Heterozygosity, PCA corrected
22005	Continuous	Missingness
22006	Categorical (single)	Genetic ethnic grouping	1002
22007	Text	Genotype measurement plate
22008	Text	Genotype measurement well
22009	Continuous	Genetic principal components
22010	Categorical (single)	Recommended genomic analysis exclusions	1101
22011	Integer	Genetic relatedness pairing
22012	Continuous	Genetic relatedness factor
22013	Continuous	Genetic relatedness IBS0
22014	Continuous	Average X chromosome intensities for determining sex
22015	Continuous	Average Y chromosome intensities for determining sex
22050	Categorical (single)	UKBiLEVE Affymetrix quality control for samples	100
22051	Categorical (single)	UKBiLEVE genotype quality control for samples	100
22052	Categorical (single)	UKBiLEVE unrelatedness indicator	101
22101	Text	Chromosome 1 genotype results
22102	Text	Chromosome 2 genotype results
22103	Text	Chromosome 3 genotype results
22104	Text	Chromosome 4 genotype results
22105	Text	Chromosome 5 genotype results
22106	Text	Chromosome 6 genotype results
22107	Text	Chromosome 7 genotype results
22108	Text	Chromosome 8 genotype results
22109	Text	Chromosome 9 genotype results
22110	Text	Chromosome 10 genotype results
22111	Text	Chromosome 11 genotype results
22112	Text	Chromosome 12 genotype results
22113	Text	Chromosome 13 genotype results
22114	Text	Chromosome 14 genotype results
22115	Text	Chromosome 15 genotype results
22116	Text	Chromosome 16 genotype results
22117	Text	Chromosome 17 genotype results
22118	Text	Chromosome 18 genotype results
22119	Text	Chromosome 19 genotype results
22120	Text	Chromosome 20 genotype results
22121	Text	Chromosome 21 genotype results
22122	Text	Chromosome 22 genotype results
22123	Text	Chromosome X genotype results
22124	Text	Chromosome Y genotype results
22125	Text	Mitochondrial genotype results
22126	Categorical (single)	Doctor diagnosed hayfever or allergic rhinitis	7
22127	Categorical (single)	Doctor diagnosed asthma	7
22128	Categorical (single)	Doctor diagnosed emphysema	7
22129	Categorical (single)	Doctor diagnosed chronic bronchitis	7
22130	Categorical (single)	Doctor diagnosed COPD (chronic obstructive pulmonary disease)	7
22131	Categorical (single)	Doctor diagnosed cystic fibrosis	7
22132	Categorical (single)	Doctor diagnosed alpha-1 antitrypsin deficiency	7
22133	Categorical (single)	Doctor diagnosed sarcoidosis	7
22134	Categorical (single)	Doctor diagnosed bronchiectasis	7
22135	Categorical (single)	Doctor diagnosed idiopathic pulmonary fibrosis	7
22136	Categorical (single)	Doctor diagnosed fibrosing alveolitis/unspecified alveolitis	7
22137	Categorical (single)	Doctor diagnosed tuberculosis	7
22138	Categorical (single)	Doctor diagnosed silicosis	7
22139	Categorical (single)	Doctor diagnosed asbestosis	7
22140	Categorical (single)	Doctor diagnosed lung cancer (not mesothelioma)	7
22141	Categorical (single)	Doctor diagnosed mesothelioma of the lung	7
22146	Integer	Age hayfever or allergic rhinitis diagnosed by doctor
22147	Integer	Age asthma diagnosed by doctor
22148	Integer	Age emphysema diagnosed by doctor
22149	Integer	Age chronic bronchitis diagnosed by doctor
22150	Integer	Age COPD (Chronic Obstructive Pulmonary Disease) diagnosed by doctor
22151	Integer	Age cystic fibrosis diagnosed by doctor
22152	Integer	Age alpha-1 antitrypsin deficiency diagnosed by doctor
22153	Integer	Age sarcoidosis diagnosed by doctor
22154	Integer	Age bronchiectasis diagnosed by doctor
22155	Integer	Age idiopathic pulmonary fibrosis diagnosed by doctor
22156	Integer	Age fibrosing alveolitis/unspecified alveolitis diagnosed by doctor
22157	Integer	Age tuberculosis diagnosed by doctor
22158	Integer	Age silicosis diagnosed by doctor
22159	Integer	Age asbestosis diagnosed by doctor
22160	Integer	Age lung cancer (not mesothelioma) diagnosed by doctor
22161	Integer	Age mesothelioma of the lung diagnosed by doctor
22166	Categorical (single)	Recent medication for hayfever or allergic rhinitis	7
22167	Categorical (single)	Recent medication for asthma	7
22168	Categorical (single)	Recent medication for emphysema	7
22169	Categorical (single)	Recent medication for chronic bronchitis	7
22170	Categorical (single)	Recent medication for COPD (Chronic Obstructive Pulmonary Disease)	7
22171	Categorical (single)	Recent medication for cystic fibrosis	7
22172	Categorical (single)	Recent medication for alpha-1 antitrypsin deficiency	7
22173	Categorical (single)	Recent medication for sarcoidosis	7
22174	Categorical (single)	Recent medication for bronchiectasis	7
22175	Categorical (single)	Recent medication for idiopathic pulmonary fibrosis	7
22176	Categorical (single)	Recent medication for fibrosing alveolitis/unspecified alveolitis	7
22177	Categorical (single)	Recent medication for tuberculosis	7
22178	Categorical (single)	Recent medication for silicosis	7
22179	Categorical (single)	Recent medication for asbestosis	7
22180	Categorical (single)	Recent medication for lung cancer (not mesothelioma)	7
22181	Categorical (single)	Recent medication for mesothelioma of the lung	7
22200	Integer	Year of birth
22201	Text	Chromosome 1 genotype probabilities
22202	Text	Chromosome 2 genotype probabilities
22203	Text	Chromosome 3 genotype probabilities
22204	Text	Chromosome 4 genotype probabilities
22205	Text	Chromosome 5 genotype probabilities
22206	Text	Chromosome 6 genotype probabilities
22207	Text	Chromosome 7 genotype probabilities
22208	Text	Chromosome 8 genotype probabilities
22209	Text	Chromosome 9 genotype probabilities
22210	Text	Chromosome 10 genotype probabilities
22211	Text	Chromosome 11 genotype probabilities
22212	Text	Chromosome 12 genotype probabilities
22213	Text	Chromosome 13 genotype probabilities
22214	Text	Chromosome 14 genotype probabilities
22215	Text	Chromosome 15 genotype probabilities
22216	Text	Chromosome 16 genotype probabilities
22217	Text	Chromosome 17 genotype probabilities
22218	Text	Chromosome 18 genotype probabilities
22219	Text	Chromosome 19 genotype probabilities
22220	Text	Chromosome 20 genotype probabilities
22221	Text	Chromosome 21 genotype probabilities
22222	Text	Chromosome 22 genotype probabilities
22223	Text	Chromosome X genotype probabilities
22224	Text	Chromosome Y genotype probabilities
22225	Text	Mitochondrial genotype probabilities
22301	Text	Chromosome 1 genotype intensities
22302	Text	Chromosome 2 genotype intensities
22303	Text	Chromosome 3 genotype intensities
22304	Text	Chromosome 4 genotype intensities
22305	Text	Chromosome 5 genotype intensities
22306	Text	Chromosome 6 genotype intensities
22307	Text	Chromosome 7 genotype intensities
22308	Text	Chromosome 8 genotype intensities
22309	Text	Chromosome 9 genotype intensities
22310	Text	Chromosome 10 genotype intensities
22311	Text	Chromosome 11 genotype intensities
22312	Text	Chromosome 12 genotype intensities
22313	Text	Chromosome 13 genotype intensities
22314	Text	Chromosome 14 genotype intensities
22315	Text	Chromosome 15 genotype intensities
22316	Text	Chromosome 16 genotype intensities
22317	Text	Chromosome 17 genotype intensities
22318	Text	Chromosome 18 genotype intensities
22319	Text	Chromosome 19 genotype intensities
22320	Text	Chromosome 20 genotype intensities
22321	Text	Chromosome 21 genotype intensities
22322	Text	Chromosome 22 genotype intensities
22323	Text	Chromosome X genotype intensities
22324	Text	Chromosome Y genotype intensities
22325	Text	Mitochondrial genotype intensities
22403	Continuous	Anterior thigh lean muscle volume (right)
22404	Continuous	Posterior thigh lean muscle volume (right)
22405	Continuous	Anterior thigh lean muscle volume (left)
22406	Continuous	Posterior thigh lean muscle volume (left)
22407	Continuous	Visceral adipose tissue volume (VAT)
22408	Continuous	Abdominal subcutaneous adipose tissue volume (ASAT)
22409	Continuous	Total thigh muscle volume
22410	Continuous	Total trunk fat
22411	Categorical (single)	VAT/ASAT error indicator	403
22412	Categorical (multiple)	Thigh error indicator (left)	401
22413	Categorical (multiple)	Thigh error indicator (right)	401
22414	Categorical (single)	Image quality indicator	400
22420	Integer	LV ejection fraction
22421	Integer	LV end diastolic volume
22422	Integer	LV end systolic volume
22423	Integer	LV stroke volume
22424	Continuous	Cardiac output
22425	Continuous	Cardiac index
22426	Integer	Average heart rate
22427	Continuous	Body surface area
22499	Categorical (single)	Device used to enter occupational data	480
22500	Date	When occupational data entered
22501	Integer	Year ended full time education	100306
22502	Categorical (single)	Cough on most days	7
22503	Integer	Years of cough on most days
22504	Categorical (single)	Bring up phlegm/sputum/mucus on most days	7
22505	Integer	Years of bringing up phlegm/sputum/mucus on most days
22506	Categorical (single)	Tobacco smoking	496
22507	Integer	Age of stopping smoking
22508	Integer	Amount of tobacco currently smoked	946
22599	Integer	Number of jobs held
22600	Text	Job title
22601	Categorical (single)	Job coding	497
22602	Integer	Year job started
22603	Integer	Year job ended	100698
22604	Categorical (single)	Work hours - lumped category	494
22605	Continuous	Work hours per week - exact value
22606	Categorical (single)	Workplace very noisy	493
22607	Categorical (single)	Workplace very cold	493
22608	Categorical (single)	Workplace very hot	493
22609	Categorical (single)	Workplace very dusty	493
22610	Categorical (single)	Workplace full of chemical or other fumes	493
22611	Categorical (single)	Workplace had a lot of cigarette smoke from other people smoking	493
22612	Categorical (single)	Worked with materials containing asbestos	493
22613	Categorical (single)	Worked with paints, thinners or glues	493
22614	Categorical (single)	Worked with pesticides	493
22615	Categorical (single)	Workplace had a lot of diesel exhaust	493
22616	Categorical (single)	Breathing problems during period of job	7
22617	Categorical (single)	Job SOC coding	2
22618	Categorical (single)	Breathing problems improved/stopped away from workplace or on holiday	7
22619	Categorical (single)	Breathing problems responsible for leaving job	7
22620	Categorical (single)	Job involved shift work	7
22630	Categorical (single)	Day shifts worked	489
22631	Continuous	Period spent working day shifts
22640	Categorical (single)	Mixture of day and night shifts worked	489
22641	Continuous	Period spent working mix of day and night shifts	488
22642	Integer	Usual length of each night shift during mixed shift periods
22643	Integer	Number of night shifts worked monthly during mixed shift periods
22644	Integer	Consecutive night shifts during mixed shift periods	487
22645	Integer	Rest days during mixed shift periods	487
22650	Categorical (single)	Night shifts worked	489
22651	Continuous	Period spent working night shifts	488
22652	Integer	Usual length of each night shift during night shift periods
22653	Integer	Number of night shifts worked monthly during night shift periods
22654	Integer	Consecutive night shifts during night shift periods	487
22655	Integer	Rest days during night shift periods	487
22660	Categorical (single)	Gap coding	486
22661	Integer	Number of gap periods
22662	Text	Title for other gap
22663	Integer	Year gap started
22664	Integer	Year gap ended	100698
22700	Date	Date first recorded at location
22702	Integer	Home location - east co-ordinate (rounded)
22704	Integer	Home location - north co-ordinate (rounded)
23098	Continuous	Weight
23099	Continuous	Body fat percentage
23100	Continuous	Whole body fat mass
23101	Continuous	Whole body fat-free mass
23102	Continuous	Whole body water mass
23104	Continuous	Body mass index (BMI)
23105	Continuous	Basal metabolic rate
23106	Continuous	Impedance of whole body
23107	Continuous	Impedance of leg (right)
23108	Continuous	Impedance of leg (left)
23109	Continuous	Impedance of arm (right)
23110	Continuous	Impedance of arm (left)
23111	Continuous	Leg fat percentage (right)
23112	Continuous	Leg fat mass (right)
23113	Continuous	Leg fat-free mass (right)
23114	Continuous	Leg predicted mass (right)
23115	Continuous	Leg fat percentage (left)
23116	Continuous	Leg fat mass (left)
23117	Continuous	Leg fat-free mass (left)
23118	Continuous	Leg predicted mass (left)
23119	Continuous	Arm fat percentage (right)
23120	Continuous	Arm fat mass (right)
23121	Continuous	Arm fat-free mass (right)
23122	Continuous	Arm predicted mass (right)
23123	Continuous	Arm fat percentage (left)
23124	Continuous	Arm fat mass (left)
23125	Continuous	Arm fat-free mass (left)
23126	Continuous	Arm predicted mass (left)
23127	Continuous	Trunk fat percentage
23128	Continuous	Trunk fat mass
23129	Continuous	Trunk fat-free mass
23130	Continuous	Trunk predicted mass
23200	Continuous	L1-L4 area
23201	Continuous	L1-L4 average height
23202	Continuous	L1-L4 average width
23203	Continuous	L1-L4 BMC (bone mineral content)
23204	Continuous	L1-L4 BMD (bone mineral density)
23205	Continuous	L1-L4 BMD (bone mineral density) T-score
23206	Continuous	Femur lower neck BMD (bone mineral density) (right)
23208	Continuous	Femur neck BMD (bone mineral density) (right)
23209	Continuous	Femur neck BMD (bone mineral density) T-score (right)
23210	Continuous	Femur shaft BMD (bone mineral density) (right)
23212	Continuous	Femur total BMD (bone mineral density) (right)
23213	Continuous	Femur total BMD (bone mineral density) T-score (right)
23214	Continuous	Femur troch BMD (bone mineral density) (right)
23215	Continuous	Femur troch BMD (bone mineral density) T-score (right)
23216	Continuous	Femur upper neck BMD (bone mineral density) (right)
23217	Continuous	Femur upper neck BMD (bone mineral density) T-score (right)
23218	Continuous	Femur wards BMD (bone mineral density) (right)
23219	Continuous	Femur wards BMD (bone mineral density) T-score (right)
23220	Continuous	Arm BMC (bone mineral content) (left)
23221	Continuous	Arm BMD (bone mineral density) (left)
23222	Continuous	Arm BMC (bone mineral content) (right)
23223	Continuous	Arm BMD (bone mineral density) (right)
23224	Continuous	Arms BMC (bone mineral content)
23225	Continuous	Arms BMD (bone mineral density)
23226	Continuous	Head BMD (bone mineral density)
23227	Continuous	Leg BMD (bone mineral density) (left)
23228	Continuous	Leg BMC (bone mineral content) (right)
23229	Continuous	Leg BMD (bone mineral density) (right)
23230	Continuous	Legs BMC (bone mineral content)
23231	Continuous	Legs BMD (bone mineral density)
23232	Continuous	Pelvis BMD (bone mineral density)
23233	Continuous	Ribs BMD (bone mineral density)
23234	Continuous	Spine BMD (bone mineral density)
23235	Continuous	Total BMC (bone mineral content)
23236	Continuous	Total BMD (bone mineral density)
